#separator:semicolon
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:4
5bd92c71-c20e-42e0-bbc2-c6bb761fb7f7;Basic;Math::Algebra;Math Algebra Identity;<p>Quadratic formula</p>;"<p>If</p>


\[ a x^2 + b x + c = 0 \]

<p>then</p>


\[ x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a} \]"
ae785c87-6dd7-4627-bd48-842f2e7955f4;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin (\alpha + \beta) \];"\[ \sin \alpha \cos \beta + \cos \alpha \sin \beta \]

<p>Related:</p>


\[
\begin{align*}
    \sin (\alpha + \beta) &= \sin \alpha \cos \beta + \cos \alpha \sin \beta \\
    \sin (\alpha - \beta) &= \sin \alpha \cos \beta - \cos \alpha \sin \beta \\
    \cos (\alpha + \beta) &= \cos \alpha \cos \beta - \sin \alpha \sin \beta \\
    \cos (\alpha - \beta) &= \cos \alpha \cos \beta + \sin \alpha \sin \beta
\end{align*}
\]"
321001c9-c9bd-400f-967f-5d871c046979;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin (\alpha - \beta) \];"\[ \sin \alpha \cos \beta - \cos \alpha \sin \beta \]

<p>Related:</p>


\[
\begin{align*}
    \sin (\alpha + \beta) &= \sin \alpha \cos \beta + \cos \alpha \sin \beta \\
    \sin (\alpha - \beta) &= \sin \alpha \cos \beta - \cos \alpha \sin \beta \\
    \cos (\alpha + \beta) &= \cos \alpha \cos \beta - \sin \alpha \sin \beta \\
    \cos (\alpha - \beta) &= \cos \alpha \cos \beta + \sin \alpha \sin \beta
\end{align*}
\]"
54605ec1-da86-4db9-92f1-b155d4110f10;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos (\alpha + \beta) \];"\[ \cos \alpha \cos \beta - \sin \alpha \sin \beta \]

<p>Related:</p>


\[
\begin{align*}
    \sin (\alpha + \beta) &= \sin \alpha \cos \beta + \cos \alpha \sin \beta \\
    \sin (\alpha - \beta) &= \sin \alpha \cos \beta - \cos \alpha \sin \beta \\
    \cos (\alpha + \beta) &= \cos \alpha \cos \beta - \sin \alpha \sin \beta \\
    \cos (\alpha - \beta) &= \cos \alpha \cos \beta + \sin \alpha \sin \beta
\end{align*}
\]"
adb027c7-f30d-4024-b356-3a243d650788;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos (\alpha - \beta) \];"\[ \cos \alpha \cos \beta + \sin \alpha \sin \beta \]

<p>Related:</p>


\[
\begin{align*}
    \sin (\alpha + \beta) &= \sin \alpha \cos \beta + \cos \alpha \sin \beta \\
    \sin (\alpha - \beta) &= \sin \alpha \cos \beta - \cos \alpha \sin \beta \\
    \cos (\alpha + \beta) &= \cos \alpha \cos \beta - \sin \alpha \sin \beta \\
    \cos (\alpha - \beta) &= \cos \alpha \cos \beta + \sin \alpha \sin \beta
\end{align*}
\]"
400c6172-fe3c-44f5-bc28-123ede29adf3;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \tan (\alpha + \beta) \];"\[ \frac{\tan \alpha + \tan \beta}{1 - \tan \alpha \tan \beta} \]

<p>Related:</p>


\[
\begin{align*}
    \tan (\alpha + \beta) &= \frac{\tan \alpha + \tan \beta}{1 - \tan \alpha \tan \beta} \\
    \tan (\alpha - \beta) &= \frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
\end{align*}
\]"
972c3d2b-7b38-4d55-a892-318955c86cbb;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \tan (\alpha - \beta) \];"\[ \frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta} \]

<p>Related:</p>


\[
\begin{align*}
    \tan (\alpha + \beta) &= \frac{\tan \alpha + \tan \beta}{1 - \tan \alpha \tan \beta} \\
    \tan (\alpha - \beta) &= \frac{\tan \alpha - \tan \beta}{1 + \tan \alpha \tan \beta}
\end{align*}
\]"
9aa6f8fc-e1f1-4bcb-829c-d04a713e1092;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin \frac{\theta}{2} \];"\[ \pm \sqrt{ \frac{1 - \cos \theta}{2} } \]

<p>Related:</p>


\[
\begin{align*}
    \sin \frac{\theta}{2} &= \pm \sqrt{ \frac{1 - \cos \theta}{2} } \\
    \cos \frac{\theta}{2} &= \pm \sqrt{ \frac{1 + \cos \theta}{2} }
\end{align*}
\]"
da5039c2-ca54-4f99-99a8-e0d9947b924e;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos \frac{\theta}{2} \];"\[ \pm \sqrt{ \frac{1 + \cos \theta}{2} } \]

<p>Related:</p>


\[
\begin{align*}
    \sin \frac{\theta}{2} &= \pm \sqrt{ \frac{1 - \cos \theta}{2} } \\
    \cos \frac{\theta}{2} &= \pm \sqrt{ \frac{1 + \cos \theta}{2} }
\end{align*}
\]"
d1c98904-370b-4517-957b-6763e10553d7;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \tan \frac{\theta}{2} \];"\[ \pm \sqrt{ \frac{1 - \cos \theta}{1 + \cos \theta} } \]
\[ \frac{\sin \theta}{1 + \cos \theta} \]
\[ \frac{1 - \cos \theta}{\sin \theta} \]"
cba164f0-0e0b-49d4-b07d-0d5cfd606b0b;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin^2 \theta \];"\[ \frac{1 - \cos 2 \theta}{2} \]

<p>Related:</p>


\[
\begin{align*}
    \sin^2 \theta &= \frac{1 - \cos 2 \theta}{2} \\
    \cos^2 \theta &= \frac{1 + \cos 2 \theta}{2}
\end{align*}
\]"
dfb0a6f0-52bb-4ec8-acd9-3ba9557ca1bb;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos^2 \theta \];"\[ \frac{1 + \cos 2 \theta}{2} \]

<p>Related:</p>


\[
\begin{align*}
    \sin^2 \theta &= \frac{1 - \cos 2 \theta}{2} \\
    \cos^2 \theta &= \frac{1 + \cos 2 \theta}{2}
\end{align*}
\]"
65746dff-b0d4-43bc-9b85-0b41a6ea194b;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \tan^2 \theta \];\[ \frac{1 - \cos 2 \theta}{1 + \cos 2 \theta} \]
12235490-96e6-4a74-9b2f-037ef05847aa;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin 2 \theta \];\[ 2 \sin \theta \cos \theta \]
de1d55e2-5ce2-4137-86b6-c38548c0cf78;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos 2 \theta \];"\[ \cos^2 \theta - \sin^2 \theta \]
\[ 1 - 2 \sin^2 \theta \]
\[ 2 \cos^2 \theta - 1 \]"
cb0c0bfc-be0f-45a7-871f-979b4d6b016e;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \tan 2 \theta \];"\[ \frac{2 \tan \theta}{1 - \tan^2 \theta} \]
\[ \frac{2}{\cot \theta - \tan \theta} \]"
816b1427-7e2e-471a-9a9f-c5eb7362bd5e;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin \alpha \cdot \sin \beta \];\[ \frac{1}{2} [ \cos (\alpha - \beta) - \cos (\alpha + \beta) ] \]
2e6a3423-1a04-4d16-8878-92d900e3b9d7;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos \alpha \cdot \cos \beta \];\[ \frac{1}{2} [ \cos (\alpha - \beta) + \cos (\alpha + \beta) ] \]
05152939-aae0-4f9b-b3b7-f642c2b1445a;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin \alpha \cdot \cos \beta \];\[ \frac{1}{2} [ \sin (\alpha + \beta) + \sin (\alpha - \beta) ] \]
35ca7698-0b12-4e39-8092-b1b4f9d11bb2;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \cos \alpha \cdot \sin \beta \];\[ \frac{1}{2} [ \sin (\alpha + \beta) - \sin (\alpha - \beta) ] \]
a5edfd36-530b-4531-8aa9-e509f3d7f1e9;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin \alpha + \sin \beta \];\[ 2 \sin \left( \frac{\alpha + \beta}{2} \right) \cos \left( \frac{\alpha - \beta}{2} \right) \]
acbc1dc7-1ed0-43ca-889d-d353cde28c67;Basic;Math::Trigonometry;Math Trigonometric Identity;\[ \sin \alpha - \sin \beta \];\[ 2 \cos \left( \frac{\alpha + \beta}{2} \right) \sin \left( \frac{\alpha - \beta}{2} \right) \]
